Currency,Rate
AED,3.920347
AFN,84.249931
ALL,106.949912
AMD,409.699662
ANG,1.920498
AOA,884.295376
ARS,373.428125
AUD,1.656313
AWG,1.921228
AZN,1.814442
BAM,1.955798
BBD,2.151598
BDT,116.949904
BGN,1.959108
BHD,0.4018
BIF,3018.797512
BMD,1.067349
BND,1.453199
BOB,7.362994
BRL,5.194805
BSD,1.065599
BTC,4.0262132e-05
BTN,88.463727
BWP,14.577988
BYN,2.689698
BYR,20920.042757
BZD,2.147998
CAD,1.443592
CDF,2636.352321
CHF,0.957822
CLF,0.034217
CLP,944.145425
CNY,7.764218
COP,4184.196551
CRC,564.899534
CUC,1.067349
CUP,28.284752
CVE,110.264909
CZK,24.582491
DJF,189.729844
DKK,7.468666
DOP,60.48995
DZD,146.527843
EGP,33.007259
ERN,16.010237
ETB,58.782752
EUR,1.0
FJD,2.421442
FKP,0.861946
GBP,0.861738
GEL,2.801767
GGP,0.861946
GHS,12.24899
GIP,0.861946
GMD,64.628067
GNF,9147.99246
GTQ,8.389993
GYD,222.939816
HKD,8.354414
HNL,26.256978
HRK,7.487143
HTG,144.389881
HUF,383.76967
IDR,16401.953931
ILS,4.063132
IMP,0.861946
INR,88.686412
IQD,1395.49885
IRR,45095.499833
ISK,145.287302
JEP,0.861946
JMD,164.829864
JOD,0.755899
JPY,157.674178
KES,155.289872
KGS,94.68473
KHR,4379.99639
KMF,492.954897
KPW,960.614208
KRW,1418.94492
KWD,0.329833
KYD,0.887999
KZT,498.799589
LAK,21307.982437
LBP,16016.286799
LKR,344.399716
LRD,199.007369
LSL,20.258197
LTL,3.151604
LVL,0.645629
LYD,5.166996
MAD,10.936491
MDL,19.127984
MGA,4808.996036
MKD,61.619949
MMK,2237.798156
MNT,3704.393273
MOP,8.591393
MRO,381.043452
MUR,47.861148
MVR,16.436192
MWK,1151.799051
MXN,18.232355
MYR,4.999437
MZN,67.509778
NAD,20.258531
NGN,837.591149
NIO,38.989968
NOK,11.490038
NPR,141.541883
NZD,1.807699
OMR,0.4103
PAB,1.065599
PEN,3.960697
PGK,3.864997
PHP,60.534739
PKR,316.383839
PLN,4.651513
PYG,7752.99361
QAR,3.886248
RON,4.974466
RSD,117.284903
RUB,103.325172
RWF,1286.19894
SAR,4.003667
SBD,8.971151
SCR,13.721289
SDG,638.719538
SEK,11.939474
SGD,1.45421
SHP,1.298697
SLE,23.817871
SLL,21080.145122
SOS,607.854077
SSP,641.47655
SRD,40.619571
STD,22091.97182
SYP,13877.139587
SZL,20.286983
THB,38.141717
TJS,11.70589
TMT,3.746395
TND,3.363754
TOP,2.552725
TRY,28.817311
TTD,7.232994
TWD,34.040002
TZS,2669.3978
UAH,39.355068
UGX,3974.996724
USD,1.067349
UYU,40.809966
UZS,12973.989306
VEF,3568275.371897
VES,35.719845
VND,25899.226403
VUV,129.202999
WST,2.863817
XAF,655.956459
XAG,0.046369
XAU,0.000555
XCD,2.884564
XDR,0.806399
XOF,655.956459
XPF,119.86561
YER,267.184212
ZAR,20.248467
ZMK,9607.424923
ZMW,21.764982
ZWL,343.685981
